"DaysSince";"NumberOfRooms";"Address";"GlobalId";"Price";"AgentId";"AgentName";"MobileURL";"PlotArea";"Postcode";"Products";"URL";"SalesStatus";"WGS84_X";"WGS84_Y";"LivingArea";"City";"PropertyType"
10 augustus 2017;5;Anderiesenstraat 4;3901385;349000;24614;Nieuw West Makelaardij B.V.;http://m.funda.nl/obj.aspx?goi=3901385;77;1067PT;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49356748-anderiesenstraat-4/;StatusBeschikbaar;4.800067;52.3746;132;Amsterdam;woonhuis
4 augustus 2017;4;Eeuwige Jeugdlaan 4;3896639;430000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3896639;133;1022KG;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49241092-eeuwige-jeugdlaan-4/;StatusBeschikbaar;4.931649;52.40673;122;Amsterdam;woonhuis
1 augustus 2017;6;Lisdoddelaan 51;3893196;1550000;24813;TWM Makelaardij;http://m.funda.nl/obj.aspx?goi=3893196;334;1087KB;c("Video", "Plattegrond", "360-fotos", "Featured");http://www.funda.nl/koop/amsterdam/huis-49248559-lisdoddelaan-51/;StatusBeschikbaar;4.992888;52.3534;310;Amsterdam;woonhuis
2 weken;5;H.M. Kraaijvangerstraat 15;3887852;475000;24783;Hoekstra en van Eck Amsterdam West;http://m.funda.nl/obj.aspx?goi=3887852;93;1064DA;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49232215-hm-kraaijvangerstraat-15/;StatusBeschikbaar;4.82168;52.37281;123;Amsterdam;woonhuis
6 weken;6;G.J. Scheurleerweg 166;3858153;450000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3858153;125;1022KL;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49203516-gj-scheurleerweg-166/;StatusBeschikbaar;4.933258;52.40829;160;Amsterdam;woonhuis
8 weken;4;P. Lieftinckstraat 7;3845126;298011;24805;11 Makelaars Amsterdam;http://m.funda.nl/obj.aspx?goi=3845126;112;1067VW;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49290589-p-lieftinckstraat-7/;StatusBeschikbaar;4.79289;52.38111;102;Amsterdam;woonhuis
2 maanden;5;Noorderakerweg 70;3806197;450000;24512;Moerland makelaardij o.g. b.v.;http://m.funda.nl/obj.aspx?goi=3806197;225;1069LW;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49251550-noorderakerweg-70/;StatusBeschikbaar;4.779332;52.35231;125;Amsterdam;woonhuis
9 augustus 2017;2;Riouwstraat 85 -A;3900534;295000;24794;Mooi Makelaardij B.V.;http://m.funda.nl/obj.aspx?goi=3900534;NA;1094XK;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49355997-riouwstraat-85-a/;StatusBeschikbaar;4.937575;52.36223;64;Amsterdam;appartement
3 weken;4;Tweede Atjehstraat 2 C;3885775;419511;24805;11 Makelaars Amsterdam;http://m.funda.nl/obj.aspx?goi=3885775;NA;1094LE;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49230138-tweede-atjehstraat-2-c/;StatusBeschikbaar;4.932398;52.36169;91;Amsterdam;appartement
3 weken;3;Blasiusstraat 110 -4;3880232;299000;17429;Blauwe Eik Makelaardij;http://m.funda.nl/obj.aspx?goi=3880232;NA;1091CX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49235695-blasiusstraat-110-4/;StatusBeschikbaar;4.912289;52.35727;42;Amsterdam;appartement
4 weken;4;Leusdenhof 397;3878054;185000;24079;Makelaardij Van der Linden Amsterdam;http://m.funda.nl/obj.aspx?goi=3878054;NA;1108DX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49223417-leusdenhof-397/;StatusBeschikbaar;4.979943;52.30639;80;Amsterdam;appartement
6 weken;5;Westerdok 362;3861562;950000;24778;DoeksenKlein Makelaardij;http://m.funda.nl/obj.aspx?goi=3861562;NA;1013BH;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49216925-westerdok-362/;StatusBeschikbaar;4.891713;52.38473;147;Amsterdam;appartement
6 weken;5;Willem Passtoorsstraat 8 -1;3855660;325000;24794;Mooi Makelaardij B.V.;http://m.funda.nl/obj.aspx?goi=3855660;NA;1073HX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49200023-willem-passtoorsstraat-8-1/;StatusBeschikbaar;4.89612;52.34998;73;Amsterdam;appartement
8 weken;4;Korte Meerhuizenstraat 4 II;3845063;390000;24079;Makelaardij Van der Linden Amsterdam;http://m.funda.nl/obj.aspx?goi=3845063;NA;1078TL;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49290426-korte-meerhuizenstraat-4-ii/;StatusBeschikbaar;4.906739;52.34822;69;Amsterdam;appartement
2 maanden;4;Anthonie van Dijckstraat 9 -HS;3826624;1035000;24778;DoeksenKlein Makelaardij;http://m.funda.nl/obj.aspx?goi=3826624;NA;1077MG;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49271087-anthonie-van-dijckstraat-9-hs/;StatusBeschikbaar;4.874359;52.34822;132;Amsterdam;appartement
3 maanden;5;Ben van Meerendonkstraat 293;3773039;599000;24698;Makelaarskantoor BEN;http://m.funda.nl/obj.aspx?goi=3773039;NA;1087LN;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49128492-ben-van-meerendonkstraat-293/;StatusBeschikbaar;5.011224;52.34952;194;Amsterdam;appartement
2 augustus 2017;4;Dorpsstraat Holysloot 16;3894443;450000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3894443;150;1028BD;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49249806-dorpsstraat-holysloot-16/;StatusBeschikbaar;5.022714;52.41352;100;Amsterdam;woonhuis
2 weken;3;Buiksloterbreek 42;3887098;4e+05;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3887098;51;1034XC;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49232451-buiksloterbreek-42/;StatusBeschikbaar;4.90976;52.4014;91;Amsterdam;woonhuis
2 weken;4;Brigantijnkade 48;3886515;595000;24788;Adriaanssen makelaardij, taxaties;http://m.funda.nl/obj.aspx?goi=3886515;132;1086VB;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49231978-brigantijnkade-48/;StatusBeschikbaar;4.985453;52.36374;142;Amsterdam;woonhuis
5 weken;4;Sandwijk 22;3864103;325000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3864103;102;1035LB;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49219566-sandwijk-22/;StatusBeschikbaar;4.896403;52.42125;95;Amsterdam;woonhuis
7 weken;6;Raphaëlplein 39;3850266;2295000;24356;Peters & Van der Vloodt;http://m.funda.nl/obj.aspx?goi=3850266;100;1077PX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49205629-raphaelplein-39/;StatusBeschikbaar;4.870361;52.34735;250;Amsterdam;woonhuis
8 weken;4;Hendrik Hosstraat 62;3839064;250000;24514;Hoekstra en van Eck Amsterdam Centrum;http://m.funda.nl/obj.aspx?goi=3839064;115;1106ZN;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49284427-hendrik-hosstraat-62/;StatusBeschikbaar;4.997585;52.29927;117;Amsterdam;woonhuis
2 maanden;4;Durgerdammerdijk 133;3815737;750000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3815737;176;1026CH;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49260190-durgerdammerdijk-133/;StatusBeschikbaar;4.993524;52.37875;119;Amsterdam;woonhuis
3 maanden;5;Groenlandstraat 40;3795187;440000;24607;Kuijs Reinder Kakes Makelaars Amsterdam;http://m.funda.nl/obj.aspx?goi=3795187;119;1060MG;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49140540-groenlandstraat-40/;StatusBeschikbaar;4.793174;52.34675;129;Amsterdam;woonhuis
3 maanden;6;Oldenaller 54;3786554;1195000;24592;Ramón Mossel Makelaardij o.g. B.V.;http://m.funda.nl/obj.aspx?goi=3786554;216;1081HK;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49131917-oldenaller-54/;StatusBeschikbaar;4.862881;52.33098;236;Amsterdam;woonhuis
3 maanden;5;Lange Vonder 64;3781353;298011;17358;11 Makelaars;http://m.funda.nl/obj.aspx?goi=3781353;88;1035JZ;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49136716-lange-vonder-64/;StatusBeschikbaar;4.894049;52.42403;94;Amsterdam;woonhuis
3 maanden;5;Manna de Wijs-Moutonhof 17;3777284;275000;24783;Hoekstra en van Eck Amsterdam West;http://m.funda.nl/obj.aspx?goi=3777284;68;1068WJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49122647-manna-de-wijs-moutonhof-17/;StatusBeschikbaar;4.816231;52.35427;75;Amsterdam;woonhuis
4 maanden;4;Nieuwezijds Armsteeg 5;3743850;475000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3743850;16;1012NB;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-49198213-nieuwezijds-armsteeg-5/;StatusBeschikbaar;4.896304;52.37708;47;Amsterdam;woonhuis
5 maanden;6;Dr. E. Boekmanstraat 11;3718152;550000;24512;Moerland makelaardij o.g. b.v.;http://m.funda.nl/obj.aspx?goi=3718152;NA;1069KS;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49163515-dr-e-boekmanstraat-11/;StatusBeschikbaar;4.795059;52.35179;215;Amsterdam;woonhuis
6+ maanden;5;Achterlaan 5 A;3586054;750000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3586054;328;1027AJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49931417-achterlaan-5-a/;StatusBeschikbaar;4.966343;52.40652;141;Amsterdam;woonhuis
Vandaag;3;Dollardpad 13;3902479;350000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3902479;NA;1025XG;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49357832-dollardpad-13/;StatusBeschikbaar;4.943606;52.39777;109;Amsterdam;appartement
9 augustus 2017;4;Derkinderenstraat 176;3899956;339000;24783;Hoekstra en van Eck Amsterdam West;http://m.funda.nl/obj.aspx?goi=3899956;NA;1061VX;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49244319-derkinderenstraat-176/;StatusBeschikbaar;4.84067;52.36778;87;Amsterdam;appartement
5 augustus 2017;2;Van Oldenbarneveldtstraat 96 III;3898026;295000;24698;Makelaarskantoor BEN;http://m.funda.nl/obj.aspx?goi=3898026;NA;1052KH;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49243489-van-oldenbarneveldtstraat-96-iii/;StatusBeschikbaar;4.873591;52.37402;61;Amsterdam;appartement
5 augustus 2017;3;Langswater 584;3897835;169500;24512;Moerland makelaardij o.g. b.v.;http://m.funda.nl/obj.aspx?goi=3897835;NA;1069EE;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49242298-langswater-584/;StatusBeschikbaar;4.78895;52.3574;60;Amsterdam;appartement
4 augustus 2017;3;Van Hilligaertstraat 4 C;3897055;325000;24356;Peters & Van der Vloodt;http://m.funda.nl/obj.aspx?goi=3897055;NA;1072JZ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49242418-van-hilligaertstraat-4-c/;StatusBeschikbaar;4.886863;52.34958;56;Amsterdam;appartement
1 augustus 2017;4;Glitterstraat 172;3893542;239000;24514;Hoekstra en van Eck Amsterdam Centrum;http://m.funda.nl/obj.aspx?goi=3893542;NA;1103SK;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49248905-glitterstraat-172/;StatusBeschikbaar;4.979396;52.32124;84;Amsterdam;appartement
2 weken;3;Reizigersweg 179;3889367;225000;24644;Dirk Voet Makelaars;http://m.funda.nl/obj.aspx?goi=3889367;NA;1033ZP;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49234720-reizigersweg-179/;StatusBeschikbaar;4.883925;52.41759;82;Amsterdam;appartement
2 weken;4;Rustenburgerstraat 317 -IV-V;3887982;545000;24761;Francis Helmig Makelaardij;http://m.funda.nl/obj.aspx?goi=3887982;NA;1073GG;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49232345-rustenburgerstraat-317-iv-v/;StatusBeschikbaar;4.895482;52.35192;91;Amsterdam;appartement
3 weken;3;IJdoornlaan 261 P 4;3884137;295000;24594;Hoekstra en van Eck Amsterdam Noord;http://m.funda.nl/obj.aspx?goi=3884137;NA;1024KM;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49239590-ijdoornlaan-261-p-4/;StatusBeschikbaar;4.95583;52.39324;91;Amsterdam;appartement
3 weken;3;Baarsjesweg 142 B;3880738;519000;12285;Makelaarsland;http://m.funda.nl/obj.aspx?goi=3880738;NA;1057HM;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49235191-baarsjesweg-142-b/;StatusBeschikbaar;4.862888;52.36887;118;Amsterdam;appartement
4 weken;6;Memlingstraat 7 hs;3878356;1595000;24733;MTH Makelaars;http://m.funda.nl/obj.aspx?goi=3878356;NA;1077LP;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49223719-memlingstraat-7-hs/;StatusBeschikbaar;4.874847;52.3501;242;Amsterdam;appartement
